,secID,ticker,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
105,000001.XSHE,1,XSHE,2015/6/10,16.98,16.98,16.8,16.93,16.53,16.68,219838655,3679460605,99496,0.0186,0.787712216,1.97E+11,2.39E+11,-0.0177,11.7127,10.6,1.7459,1,16.737
106,000001.XSHE,1,XSHE,2015/6/11,16.68,16.68,16.68,16.77,16.35,16.48,170696045,2811189687,89297,0.0145,0.787712216,1.95E+11,2.36E+11,-0.012,11.5722,10.4729,1.7249,1,16.469
107,000001.XSHE,1,XSHE,2015/6/12,16.48,16.48,16.48,16.63,16.31,16.51,190338879,3131996559,91598,0.0161,0.787712216,1.95E+11,2.36E+11,0.0018,11.5933,10.4919,1.7281,1,16.455
108,000001.XSHE,1,XSHE,2015/6/15,16.51,16.51,16.53,16.6,15.9,15.92,219217661,3547149535,117222,0.0186,0.787712216,1.88E+11,2.28E+11,-0.0357,11.179,10.117,1.6663,1,16.181
109,000001.XSHE,1,XSHE,2015/6/16,15.92,15.92,15.8,16.06,15.5,15.64,181217984,2858213721,92566,0.0154,0.787712216,1.85E+11,2.24E+11,-0.0176,10.9824,9.9391,1.637,1,15.772
110,000001.XSHE,1,XSHE,2015/6/17,15.64,15.64,15.83,15.89,15.45,15.73,171594225,2689990222,80737,0.0145,0.787712216,1.86E+11,2.25E+11,0.0058,11.0456,9.9962,1.6464,1,15.676
111,000001.XSHE,1,XSHE,2015/6/18,15.73,15.73,15.68,15.68,15.01,15.38,160255482,2468466177,88953,0.0136,0.787712216,1.82E+11,2.20E+11,-0.0223,10.7998,9.7738,1.6098,1,15.403
112,000001.XSHE,1,XSHE,2015/6/19,15.38,15.38,15.25,15.39,14.5,14.63,156552048,2345768674,82703,0.0133,0.787712216,1.73E+11,2.09E+11,-0.0488,10.2731,9.2972,1.5313,1,14.984
113,000001.XSHE,1,XSHE,2015/6/23,14.63,14.63,14.64,14.97,14.11,14.95,180548812,2643179924,84698,0.0153,0.787712216,1.76E+11,2.14E+11,0.0219,10.4979,9.5006,1.5648,1,14.64
114,000001.XSHE,1,XSHE,2015/6/24,14.95,14.95,15,15.13,14.7,15.12,153199612,2290363605,73364,0.013,0.787712216,1.78E+11,2.16E+11,0.0114,10.6172,9.6086,1.5826,1,14.95
